"N.Registro";"Tipo";"Categoría";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"05/000040";"Cafetería";"1ª - 2 Tazas";"24 HORAS";"CARRETERA DE MADRID, KM. 110'500";"05000";"Ávila";"Ávila";"AVILA";"";"920 221487";"";"";"";"";"";"40";"";"";"";
"34/000018";"Cafetería";"2ª - 1 Taza";"470";"MODESTO LAFUENTE, 17";"34002";"Palencia";"Palencia";"PALENCIA";"";"979727998";"";"";"";"";"";"408";"";"";"";
"05/000032";"Cafetería";"2ª - 1 Taza";"ADANERO";"CTRA. MADRID-CORUÑA KM. 111";"05296";"Ávila";"Adanero";"ADANERO";"";"920307125";"";"";"";"";"";"20";"";"";"";
"24/000066";"Cafetería";"2ª - 1 Taza";"CAFE LOS ALAMOS";"C/ CARMEN, Nº 12";"24001";"León";"León";"LEON";"LEON";"987265265";"";"";"";"";"";"74";"";"";"";
"24/000166";"Cafetería";"2ª - 1 Taza";"ALASKA";"Avenida ROMA 9  BJ";"24001";"León";"León";"LEON";"LEON";"675339166";"";"";"edgarissan@gmail.com";"";"";"52";"";"";"";
"24/000050";"Cafetería";"2ª - 1 Taza";"ALBATROS";"JOSE MARIA FERNANDEZ, 33";"24006";"León";"León";"LEON";"LEON";"987255986";"";"";"";"";"";"50";"";"";"";
"24/000175";"Cafetería";"2ª - 1 Taza";"ALCER";"ORDOÑO II - PASAJE CINE MARI";"24001";"León";"León";"LEON";"";"987215916";"";"";"";"";"";"140";"";"";"";
"24/000135";"Cafetería";"2ª - 1 Taza";"CERVECERÍA CAFETERÍA ALHAMBRA";"Calle C/ ROA DE LA VEGA, 23";"24001";"León";"León";"LEON";"LEON";"987247760";"";"";"";"";"";"46";"";"";"";
"47/000118";"Cafetería";"2ª - 1 Taza";"ALIEN'S";"FIDEL RECIO 6";"47000";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983396388";"";"";"";"";"";"20";"";"";"";
"34/000005";"Cafetería";"2ª - 1 Taza";"ALMONGA";"CALVO SOTELO, 22";"34840";"Palencia";"Cervera de Pisuerga";"CERVERA DE PISUERGA";"CERVERA DE PISUERGA";"979870243";"";"";"";"";"";"93";"";"";"";
"37/000119";"Cafetería";"2ª - 1 Taza";"LA ENCINA";"AGUSTINOS RECOLETOS, AVDA., 1";"37005";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"685986870";"";"";"";"";"";"115";"";"";"Si";
"37/000001";"Cafetería";"2ª - 1 Taza";"ALTAMIRA";"MAYOR, PZA., 21";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"264089";"";"";"";"";"";"38";"";"";"";
"49/000023";"Cafetería / Bar";"2ª - 1 Taza";"ALVAREZ";"CTRA. N-VI, KM. 250";"49650";"Zamora";"San Esteban del Molar";"SAN ESTEBAN DEL MOLAR";"SAN ESTEBAN DEL MOLAR";"980665308";"675897279";"";"";"";"";"73";"";"";"Si";
"24/000176";"Cafetería";"2ª - 1 Taza";"ANCAR";"Calle MENENDEZ PIDAL 16";"24010";"León";"San Andrés del Rabanedo";"TROBAJO DEL CAMINO";"TROBAJO DEL CAMINO";"602545584";"";"";"cbancar@gmail.com";"";"";"40";"";"";"";
"37/000164";"Cafetería";"2ª - 1 Taza";"DARSENAS";"AVD.FILIBERTO VILLALOBOS,77";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"";"";"";"";"";"";"27";"";"";"";
"37/000070";"Cafetería";"2ª - 1 Taza";"LOS ANDES";"VILLAMAYOR, AVDA., 60";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"241036";"";"";"";"";"";"55";"";"";"";
"37/000074";"Cafetería";"2ª - 1 Taza";"LA ANGARILLA";"CAMINO PERAMATO, 4";"37208";"Salamanca";"Fuente de San Esteban (La)";"BOADILLA";"";"451012";"";"";"";"";"";"38";"";"";"";
"37/000041";"Cafetería";"2ª - 1 Taza";"LOS ANGELES";"JUAN CARLOS I, 7";"37770";"Salamanca";"Guijuelo";"GUIJUELO";"";"";"";"";"";"";"";"67";"";"";"";
"42/000017";"Cafetería";"2ª - 1 Taza";"LA MORENA";"MAYOR, 11";"42330";"Soria";"San Esteban de Gormaz";"SAN ESTEBAN DE GORMAZ";"SAN ESTEBAN DE GORMAZ";"975350165";"";"";"";"";"";"67";"";"";"";
