"N.Registro";"Tipo";"Categoría";"Especialidades";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"05/000001";"Restaurante / Bar";"3ª - 2 Tenedores";"";"CATORCE";"Calle VARA DEL REY, 5";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920255061";"652632173";"";"angela2168@gmail.com";"";"";"88";"";"";"";
"05/000006";"Restaurante";"3ª - 2 Tenedores";"";"EL TORREON";"C/ EL TOSTADO, Nº 1";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920213171";"";"";"";"";"";"116";"";"";"";
"05/000007";"Restaurante / Bar";"3ª - 2 Tenedores";"";"ESTACION DE AVILA";"Paseo DE LA ESTACION S/N";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"606325644";"";"";"chalao2007@hotmail.com";"";"";"82";"";"";"Si";
"05/000010";"Restaurante";"3ª - 2 Tenedores";"";"EL RUEDO";"Calle ENRIQUE LARRETA, 7";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920213198";"";"";"";"";"";"40";"";"";"";
"05/000014";"Restaurante";"3ª - 2 Tenedores";"";"EL RINCON";"ZURRAQUIN, PLAZA, 6";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920213152";"";"";"elrincon@plaza-zurraquin.com";"";"";"70";"";"";"";
"05/000015";"Restaurante / Bar";"4ª - 1 Tenedor";"";"DON CAMILO";"Calle VALLESPIN 7";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920048582";"";"";"";"";"";"40";"";"";"";
"05/000016";"Restaurante";"3ª - 2 Tenedores";"";"MESON DEL RASTRO";"RASTRO, PLAZA, 1";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920211218";"920211219";"";"";"";"";"195";"";"";"Si";
"05/000020";"Restaurante";"3ª - 2 Tenedores";"";"LA PINILLA";"Calle FIGONES 1";"05200";"Ávila";"Arévalo";"AREVALO";"AREVALO";"920300063";"675951342";"";"asador_pinilla@hotmail.es";"";"";"99";"";"";"Si";
"05/000023";"Restaurante";"3ª - 2 Tenedores";"";"CHIVIS";"CALVO SOTELO, 10";"05500";"Ávila";"Piedrahíta";"PIEDRAHITA";"";"920360036";"";"";"";"";"";"100";"";"";"";
"05/000024";"Restaurante";"4ª - 1 Tenedor";"";"ARGIMIRA DEL MAZO";"BUEN JUEZ, 1";"05500";"Ávila";"Piedrahíta";"PIEDRAHITA";"";"920360255";"";"";"";"";"";"30";"";"";"";
"05/000025";"Restaurante / Bar";"4ª - 1 Tenedor";"";"SOL";"VASCO DE QUIROGA, 1";"05005";"Ávila";"Ávila";"AVILA";"AVILA";"920226424";"";"";"";"";"";"175";"";"";"";
"05/000028";"Restaurante";"4ª - 1 Tenedor";"";"EL VIEJO MARQUES";"Calle EL TOSTADO 10";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920257346";"";"";"";"";"";"35";"";"";"";
"05/000033";"Restaurante / Bar";"4ª - 1 Tenedor";"";"MESON DEL MORAÑEGO";"Calle CALZADA 42";"05350";"Ávila";"San Pedro del Arroyo";"SAN PEDRO DEL ARROYO";"SAN PEDRO DEL ARROYO";"625492055";"";"";"";"";"";"";"";"";"Si";
"05/000034";"Restaurante";"3ª - 2 Tenedores";"";"MESON EL SOL";"HORNOS CALEROS, 25";"05003";"Ávila";"Ávila";"AVILA";"AVILA";"920220211";"920221266";"";"";"";"";"253";"-4,683243";"40,653327";"";
"05/000035";"Restaurante";"3ª - 2 Tenedores";"";"EL SUR DE GREDOS";"Carretera DE CANDELEDA 13";"05400";"Ávila";"Arenas de San Pedro";"ARENAS DE SAN PEDRO";"ARENAS DE SAN PEDRO";"920060607";"662347005";"";"elsurdegredosrestaurante@gmail.com";"";"";"60";"";"";"";
"05/000038";"Restaurante / Salón banquete";"3ª - 2 Tenedores";"9#Mesón#|";"MONTECARLO";"Calle GARCIA DEL REAL 34";"05230";"Ávila";"Navas del Marqués (Las)";"NAVAS DEL MARQUES (LAS)";"NAVAS DEL MARQUES (LAS)";"918970649";"";"";"montecarlonavas@gmail.com";"www.restaurantemontecarlo.es";"";"235";"";"";"";
"05/000039";"Restaurante";"3ª - 2 Tenedores";"";"EL CORTIJO DE LA FLOR";"COLONIA ARROYO LOBO,C-501,KM. 79,7";"05430";"Ávila";"Adrada (La)";"ADRADA (LA)";"ADRADA (LA)";"918670016";"";"";"";"";"";"90";"-4,6437808";"40,3038998";"";
"05/000041";"Restaurante / Bar";"4ª - 1 Tenedor";"";"POSADA TRASTÁMARA";"Avenida CASTILLA Y LEON 49";"05440";"Ávila";"Piedralaves";"PIEDRALAVES";"PIEDRALAVES";"635120014";"";"";"";"";"";"110";"";"";"";
"05/000042";"Restaurante";"4ª - 1 Tenedor";"";"EL RANCHO";"CTRA. AVILA-TOLEDO, S/N";"05002";"Ávila";"Ávila";"AVILA";"AVILA";"920220002";"";"";"";"";"";"35";"-4,688789";"40,627445";"";
"05/000043";"Restaurante";"3ª - 2 Tenedores";"";"EL CRUCE";"VIRGEN, 11";"05294";"Ávila";"Herradón de Pinares";"CAÑADA (LA)";"";"920272009";"920272434";"";"";"";"";"170";"";"";"";
"05/000047";"Restaurante";"4ª - 1 Tenedor";"";"APOLO";"CTRA. SALVADIOS, S/N";"05310";"Ávila";"Fontiveros";"FONTIVEROS";"";"920244217";"";"";"";"";"";"28";"";"";"";
"05/000048";"Restaurante / Bar";"4ª - 1 Tenedor";"";"GREDOS";"Calle COMUNEROS DE CASTILLA 4";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"619581292";"";"";"";"";"";"50";"";"";"";
"05/000049";"Restaurante";"3ª - 2 Tenedores";"";"GOYA";"AVDA. EMILIO ROMERO, 33";"05200";"Ávila";"Arévalo";"AREVALO";"AREVALO";"920300362";"";"";"";"";"";"51";"-4,715091";"41,056746";"";
"05/000050";"Restaurante";"2ª - 3 Tenedores";"";"MAGALIA";"CTRA. MADRID, S/N";"05230";"Ávila";"Navas del Marqués (Las)";"NAVAS DEL MARQUES (LAS)";"NAVAS DEL MARQUES (LAS)";"918972449";"";"";"";"";"";"91";"";"";"";
"05/000052";"Restaurante";"3ª - 2 Tenedores";"";"EL ALAMILLO";"EXTRAMUROS, 64";"05500";"Ávila";"Piedrahíta";"PIEDRAHITA";"";"920360365";"";"";"";"";"";"67";"";"";"";
"05/000053";"Restaurante";"4ª - 1 Tenedor";"";"GREDOS";"AVDA. CASTILLA Y LEON, 35";"05430";"Ávila";"Adrada (La)";"ADRADA (LA)";"ADRADA (LA)";"918670728";"";"";"";"";"";"50";"";"";"";
"05/000055";"Restaurante";"3ª - 2 Tenedores";"";"GRAN DUQUE";"PASTELERIA, 17";"05500";"Ávila";"Piedrahíta";"PIEDRAHITA";"PIEDRAHITA";"920360830";"";"";"";"";"";"65";"";"";"Si";
"05/000056";"Restaurante";"4ª - 1 Tenedor";"";"MESON EL TRABUCO";"LOS MARTIRES, 5";"05416";"Ávila";"Arenal (El)";"ARENAL (EL)";"ARENAL (EL)";"920375066";"";"";"";"";"";"16";"-5,086725";"40,265164";"";
